"Timestamp","Đánh giá cơ sở vật chất của trường (phòng học, thư viện, căn tin,...).","Mức độ hài lòng về sự hiện đại và thuận tiện của cơ sở vật chất (ví dụ: có đủ máy lạnh, phòng học thoải mái, các tiện ích khác,...)","Đánh giá chất lượng giảng viên (kinh nghiệm, sự nhiệt huyết, khả năng truyền đạt kiến thức) .","Mức độ hài lòng với sự sẵn có và sự hỗ trợ của giảng viên ngoài giờ học.","Đánh giá chất lượng của các buổi học (tính tương tác, sự hấp dẫn).","Mức độ hài lòng với phương pháp giảng dạy và tài liệu học được sử dụng.","Đánh giá khả năng hỗ trợ tài chính hoặc học bổng từ trường.","Mức độ hài lòng với các dịch vụ hỗ trợ sinh viên liên quan đến mức học phí mới (tư vấn, hỗ trợ về tài chính).","Đánh giá tổng thể về trải nghiệm học tập tại trường.","Bạn có cảm thấy sự tương xứng của mức học phí mới đối với chất lượng và trải nghiệm học tập."
"2024/01/25 1:56:53 pm GMT+7","3","5","5","5","4","5","5","1","4","2"
"2024/01/25 6:14:23 pm GMT+7","3","3","5","3","4","3","4","3","4","3"
"2024/01/25 6:19:04 pm GMT+7","4","4","5","4","4","3","2","2","3","3"
"2024/01/25 6:23:25 pm GMT+7","3","3","5","4","4","4","1","1","3","3"
"2024/01/25 6:25:52 pm GMT+7","4","4","3","2","3","2","2","2","3","3"
"2024/01/25 6:26:22 pm GMT+7","3","3","4","3","4","4","4","3","3","2"
"2024/01/25 6:26:44 pm GMT+7","5","5","2","3","4","3","2","1","3","3"
"2024/01/25 6:28:44 pm GMT+7","5","5","4","5","5","5","5","5","5","5"
"2024/01/25 6:35:12 pm GMT+7","3","3","4","3","3","4","3","2","3","1"
"2024/01/25 6:35:44 pm GMT+7","3","4","4","4","4","3","3","4","4","4"
"2024/01/25 6:48:17 pm GMT+7","4","3","3","4","3","3","1","2","3","1"
"2024/01/25 6:52:36 pm GMT+7","5","5","5","5","4","4","4","5","4","3"
"2024/01/25 6:59:40 pm GMT+7","1","1","3","2","3","2","1","1","1","1"
"2024/01/25 7:00:08 pm GMT+7","3","3","3","3","3","3","4","4","4","2"
"2024/01/25 7:05:02 pm GMT+7","3","3","3","3","3","3","3","1","3","1"
"2024/01/25 7:13:26 pm GMT+7","5","5","5","5","5","5","1","1","3","1"
"2024/01/25 7:28:48 pm GMT+7","4","4","3","4","3","4","2","2","4","2"
"2024/01/25 7:32:10 pm GMT+7","3","4","5","5","4","5","5","5","3","3"
"2024/01/25 7:42:34 pm GMT+7","2","3","4","5","4","4","1","3","2","1"
"2024/01/25 7:52:13 pm GMT+7","4","4","5","5","5","5","4","4","4","4"
"2024/01/25 8:07:52 pm GMT+7","2","2","2","5","2","2","5","1","2","2"
"2024/01/25 8:20:04 pm GMT+7","3","3","3","3","3","3","3","3","3","3"
"2024/01/25 8:27:23 pm GMT+7","3","3","4","4","3","4","3","3","4","2"
"2024/01/25 9:21:37 pm GMT+7","4","4","4","3","3","3","2","3","3","2"
"2024/01/25 9:34:03 pm GMT+7","4","4","5","4","3","3","2","2","1","1"
"2024/01/25 10:04:50 pm GMT+7","4","5","5","5","4","3","4","3","3","3"
"2024/01/25 10:21:22 pm GMT+7","3","5","5","5","4","5","3","5","4","1"
"2024/01/25 10:53:36 pm GMT+7","2","2","3","3","3","3","2","2","2","1"
"2024/01/25 10:54:55 pm GMT+7","2","4","3","3","3","2","2","5","3","1"
"2024/01/25 10:56:55 pm GMT+7","3","5","4","4","4","4","4","3","3","2"
"2024/01/25 11:08:24 pm GMT+7","5","5","5","5","5","5","5","5","5","5"
"2024/01/25 11:14:43 pm GMT+7","5","5","4","3","3","4","5","5","4","3"
"2024/01/25 11:14:54 pm GMT+7","4","4","2","1","1","3","1","1","3","1"
"2024/01/26 8:36:34 am GMT+7","4","4","3","3","4","4","3","3","4","4"
"2024/01/26 8:36:51 am GMT+7","2","2","5","3","4","4","1","1","3","2"
"2024/01/26 8:36:58 am GMT+7","4","4","5","5","3","3","2","3","3","3"
"2024/01/26 8:40:07 am GMT+7","2","3","3","3","3","2","3","4","3","3"
"2024/01/26 8:42:18 am GMT+7","3","3","4","2","4","4","2","2","3","3"
"2024/01/26 12:54:53 pm GMT+7","5","5","5","5","5","5","5","5","5","5"
"2024/01/26 7:31:12 pm GMT+7","2","2","3","4","3","3","2","2","3","2"
"2024/01/26 7:47:39 pm GMT+7","3","3","5","5","5","5","4","4","4","3"
"2024/01/26 7:48:51 pm GMT+7","3","3","5","5","5","5","4","4","4","3"
"2024/01/28 7:00:35 pm GMT+7","3","4","4","3","4","4","2","2","3","3"
"2024/01/28 7:01:16 pm GMT+7","4","5","4","3","3","4","4","2","3","2"
"2024/01/28 7:13:27 pm GMT+7","4","4","3","4","4","4","2","2","4","2"
"2024/01/28 7:25:46 pm GMT+7","3","5","3","1","1","1","1","1","1","1"
"2024/01/29 6:49:28 am GMT+7","4","4","5","5","4","4","3","3","5","4"
"2024/01/29 7:19:47 am GMT+7","5","4","4","4","4","4","4","4","4","4"
"2024/01/29 9:20:42 am GMT+7","3","4","5","1","3","3","1","1","2","1"
"2024/01/29 3:07:41 pm GMT+7","3","5","2","3","3","3","3","1","3","1"
"2024/01/29 4:38:10 pm GMT+7","5","5","4","4","4","5","3","3","4","2"
"2024/02/10 9:07:05 pm GMT+7","5","5","5","5","5","5","5","5","5","5"